,Stall_no,Market_Category,Loyalty_customer,Product_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,charges_range,Product_Category_Grade,Selling_Price,test_or_train
56,15.0,158.0,1.0,4.0,3.0,52.0,0.0,258.0,13.0,2120.0,15949.0,1.0,19.0,9244.692864,1.0
57,12.0,158.0,0.0,4.0,3.0,27.0,0.0,258.0,14.0,2486.0,14677.0,1.0,19.0,8829.381225,1.0
58,24.0,189.0,0.0,0.0,0.0,12.0,0.0,326.0,7.0,1587.0,4420.0,2.0,0.0,3331.26684,1.0
59,5.0,165.0,1.0,2.0,3.0,49.0,0.0,152.0,12.0,4198.0,8015.0,0.0,11.0,6225.728688,1.0
60,19.0,183.0,0.0,4.0,0.0,80.0,0.0,241.0,12.0,3020.0,4383.0,1.0,16.0,3858.13385,1.0
61,37.0,194.0,1.0,9.0,0.0,87.0,0.0,458.0,13.0,4724.0,6418.0,3.0,36.0,5949.318144,1.0
62,49.0,57.0,1.0,8.0,0.0,93.0,0.0,258.0,9.0,3662.0,5596.0,1.0,32.0,4820.737152000001,1.0
63,43.0,10.0,1.0,7.0,3.0,77.0,0.0,183.0,10.0,567.0,1309.0,0.0,31.0,1110.7206,1.0
64,14.0,177.0,1.0,6.0,0.0,6.0,0.0,101.0,6.0,5509.0,9435.0,0.0,24.0,7576.722252,1.0
65,3.0,158.0,0.0,6.0,3.0,21.0,0.0,105.0,8.0,2945.0,8553.0,0.0,27.0,5843.9535,1.0
66,1.0,40.0,1.0,1.0,0.0,80.0,0.0,248.0,15.0,3278.0,4593.0,1.0,4.0,4095.1385,1.0
67,4.0,120.0,0.0,9.0,2.0,64.0,0.0,587.0,10.0,3166.0,5807.0,3.0,38.0,5027.2101,1.0
68,21.0,222.0,1.0,1.0,0.0,95.0,0.0,214.0,12.0,4100.0,5368.0,1.0,4.0,4882.347008,1.0
69,13.0,252.0,1.0,4.0,2.0,89.0,1.0,240.0,15.0,1805.0,2627.0,1.0,18.0,363.5858688,1.0
70,47.0,158.0,1.0,1.0,3.0,31.0,0.0,194.0,11.0,9483.0,13644.0,0.5,7.0,11761.21328,1.0
71,12.0,117.0,1.0,1.0,1.0,76.0,0.0,247.0,14.0,8227.0,10814.0,1.0,5.0,9683.0217,1.0
72,44.0,40.0,1.0,7.0,0.0,51.0,0.0,155.0,7.0,3339.0,4327.0,0.0,28.0,3965.139648,1.0
73,25.0,194.0,0.0,7.0,0.0,73.0,0.0,158.0,2.0,4795.0,6572.0,0.0,28.0,5784.2136,1.0
74,37.0,12.0,1.0,4.0,1.0,86.0,0.0,210.0,14.0,1129.0,3142.0,1.0,17.0,2314.671744,1.0
75,27.0,232.0,1.0,8.0,2.0,68.0,0.0,266.0,7.0,3271.0,5304.0,1.0,34.0,4510.935,1.0
76,8.0,116.0,1.0,0.0,1.0,70.0,0.0,295.0,16.0,2710.0,5516.0,1.0,1.0,4370.4342,1.0
77,45.0,5.0,1.0,0.0,1.0,17.0,0.0,328.0,14.5,3790.0,6945.0,2.0,1.0,5699.759967,1.0
78,39.0,0.0,0.0,1.0,0.0,45.0,1.0,230.0,17.0,1546.0,3162.0,1.0,4.0,385.71552,1.0
79,3.0,57.0,1.0,0.0,0.0,52.0,0.0,263.0,13.0,3514.0,5021.0,1.0,0.0,4507.0192799999995,1.0
80,36.0,250.0,1.0,8.0,1.0,87.0,0.0,259.0,1.0,4480.0,9795.0,1.0,33.0,7290.690176000001,1.0
81,34.0,185.0,1.0,8.0,0.0,93.0,0.0,202.0,1.0,5708.0,7571.0,1.0,32.0,6743.632895999999,1.0
82,37.0,250.0,1.0,1.0,0.0,89.0,1.0,271.0,12.0,2284.0,14031.0,1.0,4.0,1247.516794,1.0
83,7.0,40.0,0.0,2.0,0.0,7.0,1.0,173.0,7.0,3295.0,4992.0,0.0,8.0,647.845209,1.0
84,29.0,189.0,1.0,0.0,0.0,75.0,1.0,267.0,10.0,5231.0,8004.0,1.0,0.0,1023.3313199999999,1.0
85,20.0,224.0,0.0,1.0,0.0,12.0,0.0,212.0,12.0,3645.0,4612.0,1.0,4.0,4345.015455,1.0
86,0.0,261.0,1.0,0.0,2.0,48.0,1.0,273.0,6.0,4535.0,7531.0,1.0,2.0,940.3857648000001,1.0
87,9.0,139.0,0.0,8.0,0.0,79.0,0.0,254.0,5.0,4489.0,5929.0,1.0,32.0,5410.944,1.0
88,27.0,158.0,1.0,8.0,3.0,43.0,0.0,257.0,9.0,4505.0,14923.0,1.0,35.0,9915.869664,1.0
89,11.0,32.0,0.0,3.0,0.0,74.0,0.0,363.0,12.0,2085.0,6513.0,2.0,12.0,4620.4884,1.0
90,48.0,189.0,1.0,4.0,0.0,46.0,1.0,287.0,10.0,4568.0,6014.0,1.0,16.0,832.1335416000001,1.0
91,2.0,195.0,1.0,9.0,0.0,72.0,0.0,468.0,6.0,3067.0,4426.0,3.0,36.0,4174.5825,1.0
92,31.0,76.0,1.0,0.0,0.0,17.0,0.0,274.0,14.0,4487.0,8784.0,1.0,0.0,6918.098120999999,1.0
93,47.0,123.0,1.0,9.0,0.0,72.0,0.0,585.0,7.0,6559.0,9493.0,3.0,36.0,8530.4538,1.0
94,20.0,116.0,1.0,7.0,1.0,68.0,0.0,165.0,1.0,3582.0,5581.0,0.0,29.0,4699.4904,1.0
95,7.0,1.0,1.0,6.0,0.0,47.0,0.0,133.0,5.0,5230.0,7878.0,0.0,24.0,6647.462208,1.0
96,32.0,195.0,1.0,9.0,0.0,56.0,0.0,507.0,16.0,4139.0,5638.0,3.0,36.0,5368.738752,1.0
97,14.0,227.0,1.0,2.0,3.0,17.0,0.0,148.0,17.0,247.0,1337.0,0.0,11.0,941.2558650000001,1.0
98,26.0,158.0,1.0,3.0,3.0,1.0,0.0,379.0,14.0,6796.0,12106.0,2.0,15.0,9842.245676999999,1.0
99,29.0,230.0,0.0,8.0,1.0,61.0,0.0,283.0,3.0,2006.0,11705.0,1.0,33.0,7069.1544,1.0
100,29.0,40.0,0.0,6.0,0.0,91.0,0.0,130.0,8.0,3724.0,4529.0,0.0,24.0,4198.45888,1.0
101,15.0,123.0,1.0,0.0,0.0,76.0,0.0,314.0,11.0,7017.0,10671.0,2.0,0.0,9076.0527,1.0
102,48.0,183.0,0.0,1.0,2.0,80.0,0.0,208.0,14.0,3617.0,5321.0,1.0,6.0,4577.88665,1.0
103,41.0,88.0,1.0,1.0,0.0,5.0,0.0,252.0,17.0,4071.0,7530.0,1.0,4.0,6061.753764,1.0
104,23.0,239.0,0.0,1.0,0.0,66.0,0.0,292.0,17.0,2231.0,3321.0,1.0,4.0,3041.9928,1.0
105,18.0,185.0,1.0,7.0,0.0,65.0,0.0,157.0,7.0,4871.0,6745.0,0.0,28.0,5909.3793,1.0
106,16.0,30.0,1.0,7.0,3.0,28.0,0.0,188.0,7.0,365.0,2127.0,0.0,31.0,1431.282825,1.0
107,12.0,123.0,1.0,3.0,0.0,49.0,0.0,357.0,17.0,5764.0,7916.0,2.0,12.0,7162.4947680000005,1.0
108,33.0,0.0,1.0,0.0,0.0,43.0,1.0,342.0,9.0,8648.0,12706.0,2.0,0.0,1643.704034,1.0
109,26.0,144.0,0.0,8.0,0.0,68.0,0.0,205.0,8.0,1693.0,2929.0,1.0,32.0,2492.6715,1.0
110,47.0,116.0,0.0,6.0,1.0,57.0,0.0,139.0,9.0,2587.0,4660.0,0.0,25.0,3741.6591359999998,1.0
111,15.0,150.0,1.0,1.0,0.0,38.0,0.0,233.0,14.0,2202.0,15805.0,1.0,4.0,9225.97725,1.0
112,24.0,177.0,1.0,6.0,0.0,34.0,0.0,142.0,5.0,3291.0,8577.0,0.0,24.0,6063.772575,1.0
113,16.0,82.0,1.0,0.0,0.0,69.0,1.0,260.0,7.0,2219.0,6851.0,1.0,0.0,712.528245,1.0
114,24.0,17.0,1.0,5.0,0.0,71.0,0.0,284.0,11.0,3354.0,4345.0,1.0,20.0,4096.3527,1.0
115,3.0,224.0,0.0,2.0,1.0,28.0,0.0,122.0,15.0,2745.0,4082.0,0.0,9.0,3531.76845,1.0
116,2.0,158.0,0.0,5.0,3.0,47.0,0.0,242.0,6.0,3781.0,13928.0,1.0,23.0,9043.558416,1.0
117,37.0,265.0,1.0,2.0,0.0,76.0,0.0,146.0,16.0,2552.0,6943.0,0.0,8.0,4852.089,1.0
118,21.0,40.0,0.0,3.0,0.0,82.0,0.0,398.0,17.0,3589.0,5164.0,2.0,12.0,4713.080064,1.0
119,43.0,123.0,0.0,1.0,0.0,7.0,0.0,235.0,16.0,5563.0,7986.0,1.0,4.0,7019.637965999999,1.0
120,33.0,222.0,1.0,4.0,0.0,97.0,0.0,253.0,16.0,838.0,2685.0,1.0,16.0,1988.270592,1.0
121,45.0,189.0,0.0,5.0,0.0,94.0,0.0,282.0,9.0,3220.0,4545.0,1.0,20.0,4107.970944,1.0
122,1.0,16.0,0.0,6.0,0.0,78.0,0.0,112.0,5.0,3170.0,4319.0,0.0,24.0,3819.7863,1.0
123,10.0,54.0,0.0,8.0,1.0,65.0,0.0,267.0,1.0,4224.0,5782.0,1.0,33.0,5217.795,1.0
124,3.0,163.0,0.0,2.0,2.0,86.0,0.0,131.0,17.0,7426.0,10131.0,0.0,10.0,8795.908352,1.0
125,30.0,144.0,1.0,8.0,0.0,18.0,0.0,225.0,8.0,2303.0,3486.0,1.0,32.0,3121.507818,1.0
126,4.0,123.0,1.0,6.0,0.0,97.0,1.0,113.0,5.0,4272.0,5930.0,0.0,24.0,771.214752,1.0
127,22.0,14.0,1.0,9.0,0.0,46.0,0.0,465.0,7.0,1491.0,3778.0,3.0,36.0,3081.491424,1.0
128,10.0,3.0,0.0,2.0,0.0,66.0,0.0,127.0,6.0,1169.0,2825.0,0.0,8.0,2103.948,1.0
129,2.0,144.0,0.0,3.0,0.0,19.0,0.0,379.0,13.0,2837.0,4190.0,2.0,12.0,3896.680293,1.0
130,23.0,223.0,1.0,0.0,0.0,2.0,0.0,255.0,16.0,5110.0,8108.0,1.0,0.0,6873.882543000001,1.0
131,2.0,123.0,1.0,7.0,0.0,1.0,0.0,169.0,10.0,6425.0,8983.0,0.0,28.0,7879.911929999999,1.0
132,13.0,223.0,1.0,3.0,0.0,12.0,0.0,372.0,11.0,2812.0,8121.0,2.0,12.0,5843.9255490000005,1.0
133,13.0,185.0,1.0,4.0,0.0,94.0,0.0,250.0,10.0,5692.0,8117.0,1.0,16.0,7058.27584,1.0
134,3.0,238.0,0.0,4.0,2.0,89.0,0.0,265.0,14.0,1419.0,4248.0,1.0,18.0,3057.794432,1.0
135,15.0,137.0,1.0,6.0,2.0,5.0,0.0,147.0,9.0,786.0,1934.0,0.0,26.0,1508.069178,1.0
136,20.0,224.0,1.0,0.0,0.0,86.0,0.0,273.0,15.0,5497.0,7865.0,1.0,0.0,6863.738112000001,1.0
137,46.0,194.0,1.0,4.0,0.0,84.0,0.0,217.0,15.0,5801.0,7990.0,1.0,16.0,7020.271104,1.0
138,2.0,257.0,1.0,1.0,3.0,12.0,0.0,297.0,14.0,5031.0,13343.0,1.0,7.0,9495.910314,1.0
139,44.0,186.0,1.0,8.0,1.0,69.0,1.0,216.0,5.0,5934.0,8806.0,1.0,33.0,1127.0674800000002,1.0
140,36.0,123.0,0.0,4.0,0.0,36.0,0.0,288.0,12.0,3771.0,4675.0,1.0,16.0,4504.779825,1.0
141,49.0,195.0,1.0,7.0,0.0,50.0,0.0,127.0,5.0,6107.0,8361.0,0.0,28.0,7317.486432,1.0
142,44.0,144.0,1.0,0.0,0.0,47.0,0.0,330.0,7.0,4106.0,5371.0,2.0,0.0,5039.360352000001,1.0
143,12.0,94.0,0.0,1.0,0.0,60.0,0.0,252.0,15.0,4237.0,6587.0,1.0,4.0,5544.4973,1.0
144,17.0,195.0,1.0,9.0,0.0,30.0,0.0,642.0,12.5,6251.0,8802.0,3.0,36.0,8157.086175,1.0
145,36.0,5.0,1.0,1.0,0.0,66.0,0.0,253.0,14.0,10560.0,16382.0,1.0,4.0,13605.4314,1.0
146,27.0,195.0,1.0,4.0,0.0,58.0,1.0,253.0,10.0,3625.0,5198.0,1.0,16.0,695.8543463999999,1.0
147,11.0,116.0,0.0,1.0,2.0,12.0,1.0,274.0,12.0,1168.0,4122.0,1.0,6.0,438.28166749999997,1.0
148,9.0,15.0,1.0,7.0,0.0,21.0,0.0,174.0,10.0,840.0,3524.0,0.0,28.0,2352.28455,1.0
149,40.0,239.0,1.0,4.0,0.0,5.0,0.0,221.0,17.0,2843.0,4289.0,1.0,16.0,3792.6806939999997,1.0
150,47.0,123.0,0.0,0.0,0.0,99.0,0.0,257.0,7.0,4573.0,6063.0,1.0,0.0,5498.386432,1.0
151,28.0,222.0,0.0,4.0,0.0,30.0,0.0,258.0,15.0,4460.0,6441.0,1.0,16.0,5702.3883,1.0
152,0.0,250.0,1.0,1.0,0.0,5.0,0.0,247.0,14.0,1833.0,9337.0,1.0,4.0,5839.236018,1.0
153,49.0,30.0,1.0,9.0,3.0,5.0,0.0,640.0,9.0,312.0,2102.0,3.0,39.0,1847.905191,1.0
154,22.0,137.0,1.0,1.0,0.0,16.0,0.0,287.0,15.0,1506.0,3896.0,1.0,4.0,2991.750795,1.0
155,46.0,245.0,1.0,2.0,0.0,24.0,0.0,100.0,5.0,1317.0,1907.0,0.0,8.0,1708.527975,1.0
156,6.0,137.0,1.0,6.0,0.0,1.0,0.0,113.0,6.0,1732.0,3234.0,0.0,24.0,2597.230251,1.0
157,32.0,116.0,1.0,3.0,0.0,72.0,0.0,356.0,14.0,4533.0,7840.0,2.0,12.0,6485.6484,1.0
158,34.0,1.0,0.0,5.0,0.0,79.0,1.0,209.0,8.0,1333.0,5013.0,1.0,20.0,502.60419,1.0
159,4.0,224.0,0.0,5.0,0.0,29.0,0.0,349.0,12.0,4071.0,5621.0,2.0,20.0,5187.81795,1.0
160,21.0,247.0,1.0,6.0,2.0,27.0,0.0,110.0,7.0,6211.0,11544.0,0.0,26.0,8971.225725,1.0
161,14.0,123.0,1.0,7.0,0.0,77.0,0.0,119.0,6.0,6381.0,9533.0,0.0,28.0,7999.9623,1.0
162,32.0,238.0,0.0,3.0,2.0,98.0,0.0,318.5,16.0,3225.0,5287.0,1.5,14.0,4592.708736,1.0
163,19.0,185.0,1.0,1.0,0.0,56.0,0.0,206.0,15.0,2761.0,3963.0,1.0,4.0,3550.1725439999996,1.0
164,39.0,194.0,0.0,7.0,0.0,32.0,0.0,166.0,9.0,6068.0,8070.0,0.0,28.0,7223.2566,1.0
165,12.0,22.0,1.0,2.0,0.0,98.0,0.0,130.0,8.0,1193.0,3728.0,0.0,8.0,2555.138432,1.0
166,26.0,168.0,1.0,3.0,3.0,16.0,0.0,363.0,12.0,2978.0,5626.0,2.0,15.0,4669.692984,1.0
167,20.0,187.0,0.0,6.0,0.0,85.0,0.0,148.0,8.0,7184.0,9732.0,0.0,24.0,8488.746112,1.0
168,17.0,202.0,0.0,3.0,0.0,64.0,0.0,355.0,12.0,6050.0,9081.0,2.0,12.0,7850.2842,1.0
169,13.0,1.0,0.0,2.0,0.0,12.0,0.0,100.0,17.0,1515.0,5353.0,0.0,8.0,3539.486016,1.0
170,44.0,238.0,1.0,6.0,2.0,74.0,0.0,143.0,7.0,1305.0,5650.0,0.0,26.0,3586.7007,1.0
171,35.0,207.0,1.0,6.0,0.0,56.0,0.0,136.0,7.0,1571.0,3392.0,0.0,24.0,2602.476864,1.0
172,37.0,238.0,0.0,5.0,2.0,96.0,0.0,225.0,12.0,5761.0,11896.0,1.0,22.0,8933.567104000002,1.0
173,48.0,185.0,0.0,4.0,0.0,29.0,0.0,299.0,14.0,3582.0,4898.0,1.0,16.0,4533.57765,1.0
174,37.0,222.0,1.0,5.0,0.0,7.0,1.0,329.0,11.0,2428.0,5936.0,2.0,20.0,677.2722660000001,1.0
175,23.0,197.0,1.0,1.0,0.0,77.0,0.0,209.0,12.0,2621.0,5024.0,1.0,4.0,3995.7291,1.0
176,27.0,158.0,0.0,3.0,3.0,10.0,0.0,353.0,12.0,1758.0,6758.0,2.0,15.0,4615.648389,1.0
177,45.0,41.0,1.0,4.0,0.0,5.0,0.0,205.0,13.0,4444.0,5511.0,1.0,16.0,5188.451103,1.0
178,7.0,223.0,0.0,5.0,0.0,91.0,0.0,307.0,8.0,3467.0,5324.0,2.0,20.0,4638.253312,1.0
179,40.0,195.0,0.0,5.0,0.0,57.0,0.0,335.0,11.0,4545.0,5540.0,2.0,20.0,5348.59848,1.0
180,46.0,165.0,1.0,3.0,3.0,90.0,0.0,367.0,15.0,4420.0,11059.0,2.0,15.0,8001.209215999999,1.0
181,13.0,257.0,0.0,5.0,3.0,47.0,0.0,253.0,8.0,7258.0,11265.0,1.0,23.0,9460.969776,1.0
182,33.0,195.0,0.0,8.0,0.0,73.0,0.0,217.0,6.0,7001.0,9569.0,1.0,32.0,8421.9003,1.0
183,16.0,240.0,1.0,9.0,0.0,45.0,0.0,536.0,12.0,8653.0,11277.0,3.0,36.0,10445.67706,1.0
184,36.0,144.0,0.0,1.0,0.0,64.0,1.0,239.0,14.0,3830.0,6169.0,1.0,4.0,778.95675,1.0
185,34.0,158.0,1.0,8.0,3.0,66.0,0.0,263.0,3.0,4223.0,13603.0,1.0,35.0,9086.8833,1.0
186,16.0,222.0,0.0,3.0,0.0,1.0,0.0,395.0,17.0,979.0,2792.0,2.0,12.0,2283.481629,1.0
187,16.0,158.0,1.0,6.0,3.0,28.0,0.0,133.0,6.0,4081.0,14589.0,0.0,27.0,9449.916,1.0
188,30.0,14.0,1.0,7.0,0.0,84.0,0.0,150.0,7.0,3543.0,13427.0,0.0,28.0,8516.510464,1.0
189,0.0,161.0,0.0,4.0,2.0,77.0,0.0,290.0,13.0,3024.0,6832.0,1.0,18.0,5172.1659,1.0
190,6.0,144.0,1.0,7.0,0.0,29.0,0.0,182.0,8.0,1682.0,2689.0,0.0,28.0,2363.326875,1.0
191,40.0,195.0,1.0,8.0,0.0,46.0,0.0,253.0,6.0,4121.0,6150.0,1.0,32.0,5357.073888,1.0
192,19.0,3.0,0.0,6.0,0.0,82.0,1.0,122.0,6.0,3029.0,4191.0,0.0,24.0,552.0596928,1.0
193,29.0,22.0,1.0,7.0,0.0,25.0,0.0,108.0,4.0,1237.0,3783.0,0.0,28.0,2612.4525,1.0
194,9.0,230.0,1.0,0.0,1.0,70.0,0.0,269.0,6.0,1467.0,2483.0,1.0,1.0,2222.7282,1.0
195,47.0,118.0,1.0,2.0,2.0,6.0,0.0,165.0,16.0,6204.0,7614.0,0.0,10.0,7084.341495000001,1.0
196,11.0,40.0,0.0,7.0,0.0,85.0,0.0,141.0,6.0,5195.0,7772.0,0.0,28.0,6532.941184,1.0
197,42.0,25.0,0.0,8.0,0.0,66.0,1.0,233.0,5.0,1991.0,2754.0,1.0,32.0,387.093465,1.0
198,45.0,12.0,1.0,9.0,0.0,44.0,0.0,643.0,14.0,3314.0,6804.0,3.0,36.0,5672.541888000001,1.0
199,47.0,185.0,0.0,3.0,0.0,67.0,0.0,373.0,12.0,3653.0,5239.0,2.0,12.0,4776.0966,1.0
200,29.0,10.0,1.0,1.0,3.0,74.0,0.0,245.0,15.0,453.0,1169.0,1.0,7.0,1046.6478,1.0
201,18.0,50.0,1.0,7.0,0.0,32.0,0.0,191.0,10.0,1704.0,2199.0,0.0,28.0,2139.088875,1.0
202,15.0,214.0,0.0,8.0,2.0,82.0,0.0,265.0,6.0,2273.0,3279.0,1.0,34.0,2998.855552,1.0
203,48.0,187.0,1.0,0.0,0.0,4.0,0.0,257.0,9.0,3252.0,5335.0,1.0,0.0,4553.904564,1.0
204,7.0,228.0,1.0,9.0,2.0,40.0,0.0,478.0,8.0,11149.0,16181.0,3.0,38.0,13835.466580000002,1.0
205,4.0,119.0,1.0,3.0,1.0,19.0,0.0,352.0,11.0,8572.0,12012.0,2.0,13.0,10654.25447,1.0
206,40.0,214.0,1.0,1.0,2.0,20.0,0.0,220.0,17.0,1879.0,2780.0,1.0,6.0,2496.00715,1.0
207,22.0,197.0,1.0,3.0,0.0,59.0,0.0,395.0,12.0,2030.0,4151.0,2.0,12.0,3466.879056,1.0
