,Stall_no,Market_Category,Loyalty_customer,Product_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,Selling_Price,ide,year,weekofyear,month,dayofweek,hour
31,7,149,1,1,0,66,0,266.0,13.0,990.0,3013.0,2247.399,282,1,25,10,1,7
32,28,59,1,1,0,23,0,222.0,14.0,4818.0,7435.0,6341.1873,98,1,19,9,6,11
33,8,4,0,8,0,19,0,264.9705573080967,9.0,950.0,1580.0,1563.9835859999998,44,1,20,9,2,14
34,26,4,0,6,0,85,0,104.0,9.0,1179.0,1753.0,1548.692992,44,1,20,9,2,13
35,21,183,0,8,0,12,0,280.0,8.0,4843.0,8913.0,7162.78365,3,1,20,9,0,11
36,44,40,1,0,0,61,0,323.0,14.0,5682.0,6363.615760927363,7056.7299,205,1,34,2,3,17
37,48,200,0,4,0,45,0,262.0,13.0,4526.0,6800.0,5894.392896,212,1,25,10,5,9
38,17,10,1,7,3,85,1,166.0,7.0,558.0,1469.0,174.4822464,348,2,4,5,0,15
39,13,191,1,9,0,40,1,613.0,13.0,5658.0,8363.0,1119.13144125,279,1,19,9,5,15
40,34,127,1,2,0,88,1,170.0,16.0,7236.0,9829.0,1288.595616,2,2,3,5,6,9
41,19,164,1,0,3,71,0,310.0,8.0,4293.0,19849.0,12266.7534,339,2,4,5,2,11
42,15,191,1,5,0,34,1,339.0,5.0,5975.0,8226.0,1113.66635625,44,1,20,9,1,17
43,15,200,0,4,0,31,0,222.0,13.0,6057.0,7466.0,6974.809275,205,1,34,2,3,19
44,0,104,1,8,0,15,0,260.0,8.0,497.0,7855.0,4438.896065999999,345,2,4,5,1,16
45,30,120,0,9,2,31,0,521.0,7.0,4306.0,13430.0,9371.721975,158,2,4,5,1,14
46,16,231,1,3,1,55,0,374.0,17.0,3538.0,4756.0,4499.070479999999,101,1,33,2,3,8
47,29,236,1,8,0,71,1,251.0,1.0,1968.0,6703.0,681.159105,297,1,32,2,2,2
48,33,231,0,2,0,48,0,134.0,13.0,3218.0,4443.0,3944.075328,45,1,24,10,2,20
49,31,145,0,9,0,82,1,470.0,9.0,2371.0,6303.0,711.2434559999999,20,1,9,7,1,6
50,32,228,1,3,0,31,0,374.0,16.0,1842.0,3179.0,2881.2987,205,1,25,10,4,6
51,36,231,1,3,0,57,0,363.0,11.0,7425.0,10250.0,9151.274592,297,2,4,5,0,14
52,44,218,1,1,0,46,0,252.0,13.0,7137.0,8866.0,8211.011040000001,2,2,3,5,0,17
53,35,163,1,7,3,69,0,158.0,10.0,6646.0,9290.0,8052.6303,3,1,20,9,0,13
54,23,218,0,9,0,14,0,477.0,8.0,3557.0,4742.0,4629.357018,116,1,25,10,5,9
55,5,1,0,7,0,41,1,136.0,3.0,3574.0,4756.0,641.20734,264,0,44,4,4,20
56,40,142,1,2,0,60,0,111.0,10.0,6659.0,9900.0,8209.80745,339,2,4,5,2,12
57,20,228,1,8,0,63,0,258.0,2.0,4440.0,6490.0,5666.8491,177,1,9,7,3,6
58,37,156,0,0,0,87,0,260.0,11.0,8257.0,15501.0,11977.080192,221,2,2,5,2,1
59,15,164,1,4,3,52,0,258.0,13.0,2120.0,15949.0,9244.692864,345,2,4,5,1,16
60,12,164,0,4,3,27,0,258.0,14.0,2486.0,14677.0,8829.381225,3,1,30,1,1,15
61,24,195,0,0,0,12,0,326.0,7.0,1587.0,4420.0,3331.26684,205,1,31,2,6,6
62,5,171,1,2,3,49,0,152.0,12.0,4198.0,8015.0,6225.728688,44,2,4,5,1,14
63,19,189,0,4,0,80,0,241.0,12.0,3020.0,4383.0,3858.13385,279,1,25,10,2,9
64,37,200,1,9,0,87,0,458.0,13.0,4724.0,6418.0,5949.318144,101,1,33,2,3,9
65,49,59,1,8,0,93,0,258.0,9.0,3662.0,5596.0,4820.737152000001,35,1,9,7,5,8
66,43,10,1,7,3,77,0,183.0,10.0,567.0,1309.0,1110.7206,42,1,9,7,5,8
67,14,183,1,6,0,6,0,101.0,6.0,5509.0,9435.0,7576.722252,98,1,20,9,0,13
68,3,164,0,6,3,21,0,105.0,8.0,2945.0,8553.0,5843.9535,345,2,4,5,2,13
69,16,231,1,9,1,39,0,646.0,10.0,3251.0,4273.0,4400.7306,40,1,25,10,5,7
70,1,40,1,1,0,80,0,248.0,15.0,3278.0,4593.0,4095.1385,3,1,9,7,1,6
71,4,124,0,9,2,64,0,587.0,10.0,3166.0,5807.0,5027.2101,339,1,9,7,2,5
72,21,228,1,1,0,95,0,214.0,12.0,4100.0,5368.0,4882.347008,205,1,34,2,1,17
73,13,259,1,4,2,89,1,240.0,15.0,1805.0,2627.0,363.5858688,36,1,19,9,6,11
74,47,164,1,1,3,31,0,264.9705573080967,10.254457730228655,9483.0,13644.0,11761.213275,3,1,9,7,5,9
75,3,149,1,3,0,32,0,369.0,14.0,1247.0,6363.615760927363,2632.572075,86,1,25,10,2,8
76,12,121,1,1,1,76,0,247.0,14.0,8227.0,10814.0,9683.0217,221,2,4,5,0,13
77,44,40,1,7,0,51,0,155.0,7.0,3339.0,4327.0,3965.139648,338,1,20,9,5,11
78,25,200,0,7,0,73,0,158.0,2.0,4795.0,6572.0,5784.2136,282,1,25,10,1,6
79,37,12,1,4,1,86,0,210.0,14.0,1129.0,3142.0,2314.671744,86,1,25,10,2,9
80,27,239,1,8,2,68,0,266.0,7.0,3271.0,5304.0,4510.935,205,1,33,2,5,7
81,8,120,1,0,1,70,0,295.0,16.0,2710.0,5516.0,4370.4342,201,1,25,10,1,9
82,45,5,1,0,1,17,0,328.0,10.254457730228655,3790.0,6945.0,5699.759967,44,1,20,9,4,11
83,39,0,0,1,0,45,1,230.0,17.0,1546.0,3162.0,385.71552,205,1,29,1,5,15
84,3,59,1,0,0,52,0,263.0,13.0,3514.0,5021.0,4507.0192799999995,205,1,34,2,5,20
85,10,127,0,7,0,75,0,104.0,9.0,8262.0,6363.615760927363,9766.1322,262,1,34,2,4,17
86,44,11,1,8,0,77,0,258.0,4.0,710.0,999.0,1101.7116,44,1,20,9,3,10
87,36,257,1,8,1,87,0,259.0,1.0,4480.0,9795.0,7290.690176000001,385,2,4,5,1,15
88,34,191,1,8,0,93,0,202.0,1.0,5708.0,7571.0,6743.632895999999,205,1,33,2,6,22
89,37,257,1,1,0,89,1,271.0,12.0,2284.0,14031.0,1247.5167935999998,221,2,4,5,0,13
90,7,40,0,2,0,7,1,173.0,7.0,3295.0,4992.0,647.845209,339,1,9,7,1,14
91,29,195,1,0,0,75,1,267.0,10.0,5231.0,8004.0,1023.3313199999999,152,1,20,9,0,16
92,20,231,0,1,0,12,0,212.0,12.0,3645.0,4612.0,4345.015455,345,1,20,9,6,13
93,0,268,1,0,2,48,1,273.0,6.0,4535.0,7531.0,940.3857648000001,221,2,2,5,2,3
94,9,143,0,8,0,79,0,254.0,5.0,4489.0,5929.0,5410.944,3,2,45,4,0,1
95,27,164,1,8,3,43,0,257.0,9.0,4505.0,14923.0,9915.869664,177,1,9,7,5,8
96,11,32,0,3,0,74,0,363.0,12.0,2085.0,6513.0,4620.4884,63,2,4,5,1,15
97,48,195,1,4,0,46,1,287.0,10.0,4568.0,6014.0,832.1335416000001,141,1,18,8,2,17
98,2,201,1,9,0,72,0,468.0,6.0,3067.0,4426.0,4174.5825,86,1,25,10,2,7
99,31,78,1,0,0,17,0,274.0,14.0,4487.0,8784.0,6918.098120999999,315,2,4,5,1,14
100,47,127,1,9,0,72,0,585.0,7.0,6559.0,9493.0,8530.4538,367,2,3,5,3,20
101,20,120,1,7,1,68,0,165.0,1.0,3582.0,5581.0,4699.4904,282,1,20,9,6,10
102,7,1,1,6,0,47,0,133.0,5.0,5230.0,7878.0,6647.462208,234,0,31,2,5,2
103,32,201,1,9,0,56,0,507.0,16.0,4139.0,5638.0,5368.738752,279,1,33,2,5,10
104,23,200,1,3,0,53,0,264.9705573080967,17.0,4627.0,6363.615760927363,5512.304016,201,1,25,10,1,9
105,23,98,1,5,0,9,0,259.0,13.0,3502.9748219997937,3224.0,2939.186052,343,1,20,9,6,13
106,14,234,1,2,3,17,0,148.0,17.0,247.0,1337.0,941.2558650000001,2,2,3,5,6,13
107,26,164,1,3,3,1,0,379.0,14.0,6796.0,12106.0,9842.245676999999,220,2,2,5,5,9
108,29,237,0,8,1,61,0,283.0,3.0,2006.0,11705.0,7069.1544,44,1,20,9,2,13
109,29,40,0,6,0,91,0,130.0,8.0,3724.0,4529.0,4198.45888,86,1,25,10,5,6
110,15,127,1,0,0,76,0,314.0,11.0,7017.0,10671.0,9076.0527,367,2,4,5,0,14
111,48,189,0,1,2,80,0,208.0,14.0,3617.0,5321.0,4577.88665,339,1,9,7,3,7
112,41,91,1,1,0,5,0,252.0,17.0,4071.0,7530.0,6061.753764,205,2,37,4,5,1
113,23,246,0,1,0,66,0,292.0,17.0,2231.0,3321.0,3041.9928,205,2,0,0,0,19
114,18,191,1,7,0,65,0,157.0,7.0,4871.0,6745.0,5909.3793,332,1,33,2,4,6
115,11,137,0,4,2,32,0,280.0,10.0,124.0,604.0,642.7491,345,2,4,5,2,14
116,16,30,1,7,3,28,0,188.0,7.0,365.0,2127.0,1431.282825,279,1,25,10,2,7
117,12,127,1,3,0,49,0,357.0,17.0,5764.0,7916.0,7162.4947680000005,200,2,1,5,3,0
118,33,0,1,0,0,43,1,342.0,9.0,8648.0,12706.0,1643.7040344,368,2,3,5,6,11
119,26,149,0,8,0,68,0,205.0,8.0,1693.0,2929.0,2492.6715,78,1,23,10,1,1
120,47,120,0,6,1,57,0,139.0,9.0,2587.0,4660.0,3741.6591359999998,201,1,25,10,1,8
121,15,156,1,1,0,38,0,233.0,14.0,2202.0,15805.0,9225.97725,221,2,2,5,4,0
122,40,195,1,5,0,23,0,325.0,9.0,2630.0,6363.615760927363,3526.551525,86,1,25,10,2,6
123,24,183,1,6,0,34,0,142.0,5.0,3291.0,8577.0,6063.772575,44,1,20,9,2,11
124,16,85,1,0,0,69,1,260.0,7.0,2219.0,6851.0,712.528245,54,2,0,0,1,18
125,39,179,0,4,0,86,0,208.0,11.0,3502.9748219997937,4378.0,3375.7095679999998,257,1,9,7,3,7
126,18,236,1,0,0,70,2,290.0,7.0,2895.0,12275.0,7801.5069,279,1,33,2,3,7
127,24,17,1,5,0,71,0,284.0,11.0,3354.0,4345.0,4096.3527,285,2,4,5,2,0
128,3,231,0,2,1,28,0,122.0,15.0,2745.0,4082.0,3531.76845,279,1,25,10,4,8
129,2,164,0,5,3,47,0,242.0,6.0,3781.0,13928.0,9043.558416,256,1,9,7,3,7
130,37,272,1,2,0,76,0,146.0,16.0,2552.0,6943.0,4852.089,274,2,4,5,1,14
131,21,40,0,3,0,82,0,398.0,17.0,3589.0,5164.0,4713.080064,279,1,32,2,0,4
132,43,127,0,1,0,7,0,235.0,16.0,5563.0,7986.0,7019.637965999999,221,2,2,5,2,8
133,33,228,1,4,0,97,0,253.0,16.0,838.0,2685.0,1988.270592,44,1,20,9,4,14
134,45,195,0,5,0,94,0,282.0,9.0,3220.0,4545.0,4107.970944,339,1,9,7,3,7
135,1,16,0,6,0,78,0,112.0,5.0,3170.0,4319.0,3819.7863,177,2,4,5,2,13
136,10,56,0,8,1,65,0,267.0,1.0,4224.0,5782.0,5217.795,205,1,25,10,4,7
137,26,40,0,7,0,90,0,130.0,2.0,4431.0,6363.615760927363,5398.200192,3,1,19,9,6,15
138,3,169,0,2,2,86,0,131.0,17.0,7426.0,10131.0,8795.908352,323,2,4,5,2,0
139,30,149,1,8,0,18,0,225.0,8.0,2303.0,3486.0,3121.507818,279,1,25,10,4,9
140,4,127,1,6,0,97,1,113.0,5.0,4272.0,5930.0,771.214752,332,1,33,2,4,1
141,22,14,1,9,0,46,0,465.0,7.0,1491.0,3778.0,3081.491424,201,1,25,10,1,9
142,10,3,0,2,0,66,0,127.0,6.0,1169.0,2825.0,2103.948,86,1,25,10,2,9
143,49,247,1,4,0,16,0,263.0,10.0,2847.0,6363.615760927363,3655.024461,195,1,25,10,1,7
144,2,149,0,3,0,19,0,379.0,13.0,2837.0,4190.0,3896.680293,279,1,31,2,6,3
145,23,230,1,0,0,2,0,255.0,16.0,5110.0,8108.0,6873.882543000001,186,2,1,5,1,2
146,2,127,1,7,0,1,0,169.0,10.0,6425.0,8983.0,7879.911929999999,44,1,20,9,2,11
147,13,230,1,3,0,12,0,372.0,11.0,2812.0,8121.0,5843.9255490000005,205,2,43,4,5,10
148,13,191,1,4,0,94,0,250.0,10.0,5692.0,8117.0,7058.27584,257,1,19,9,5,16
149,3,245,0,4,2,89,0,265.0,14.0,1419.0,4248.0,3057.794432,44,1,20,9,3,14
150,15,141,1,6,2,5,0,147.0,9.0,786.0,1934.0,1508.069178,44,1,20,9,4,13
151,20,231,1,0,0,86,0,273.0,15.0,5497.0,7865.0,6863.738112000001,177,1,20,9,0,15
152,46,200,1,4,0,84,0,217.0,15.0,5801.0,7990.0,7020.271104,219,1,34,2,3,19
153,2,264,1,1,3,12,0,297.0,14.0,5031.0,13343.0,9495.910314,339,1,9,7,1,9
154,44,192,1,8,1,69,1,216.0,5.0,5934.0,8806.0,1127.0674800000002,283,1,19,9,5,16
155,36,127,0,4,0,36,0,288.0,12.0,3771.0,4675.0,4504.779825,279,1,25,10,3,7
156,49,201,1,7,0,50,0,127.0,5.0,6107.0,8361.0,7317.486432,205,1,34,2,3,20
157,44,149,1,0,0,47,0,330.0,7.0,4106.0,5371.0,5039.360352000001,177,2,4,5,1,16
158,7,44,1,8,2,68,0,250.0,5.0,3502.9748219997937,6363.615760927363,2079.9207,201,1,25,10,1,9
159,12,97,0,1,0,60,0,252.0,15.0,4237.0,6587.0,5544.4973,115,2,1,5,0,15
160,17,201,1,9,0,30,0,642.0,10.254457730228655,6251.0,8802.0,8157.086175,44,1,20,9,2,11
161,36,5,1,1,0,66,0,253.0,14.0,10560.0,16382.0,13605.4314,219,1,34,2,2,18
162,27,201,1,4,0,58,1,253.0,10.0,3625.0,5198.0,695.8543463999999,205,2,0,0,3,19
163,11,120,0,1,2,12,1,274.0,12.0,1168.0,4122.0,438.28166745,279,1,25,10,2,14
164,18,167,1,1,0,78,0,204.0,15.0,2592.0,6363.615760927363,3657.2877,282,1,20,9,6,10
165,9,15,1,7,0,21,0,174.0,10.0,840.0,3524.0,2352.28455,44,1,20,9,3,10
166,40,246,1,4,0,5,0,221.0,17.0,2843.0,4289.0,3792.6806939999997,186,1,9,7,3,6
167,47,127,0,0,0,99,0,257.0,7.0,4573.0,6063.0,5498.386432,301,2,44,4,0,0
168,28,228,0,4,0,30,0,258.0,15.0,4460.0,6441.0,5702.3883,256,1,9,7,3,7
169,0,257,1,1,0,5,0,247.0,14.0,1833.0,9337.0,5839.236018,367,2,4,5,0,14
170,49,30,1,9,3,5,0,640.0,9.0,312.0,2102.0,1847.905191,86,1,25,10,2,9
171,22,141,1,1,0,16,0,287.0,15.0,1506.0,3896.0,2991.750795,205,2,17,0,6,13
172,46,252,1,2,0,24,0,100.0,5.0,1317.0,1907.0,1708.527975,44,1,20,9,4,10
173,6,141,1,6,0,1,0,113.0,6.0,1732.0,3234.0,2597.230251,205,2,17,0,5,16
174,32,120,1,3,0,72,0,356.0,14.0,4533.0,7840.0,6485.6484,44,1,20,9,4,11
175,34,1,0,5,0,79,1,209.0,8.0,1333.0,5013.0,502.60419,323,2,44,4,2,23
176,4,231,0,5,0,29,0,349.0,12.0,4071.0,5621.0,5187.81795,338,1,20,9,5,11
177,21,254,1,6,2,27,0,110.0,7.0,6211.0,11544.0,8971.225725,367,2,4,5,0,0
178,49,218,1,1,0,60,0,259.0,17.0,4355.0,6363.615760927363,5253.26095,3,1,9,7,2,6
179,14,127,1,7,0,77,0,119.0,6.0,6381.0,9533.0,7999.9623,44,1,20,9,1,16
180,32,245,0,3,2,98,0,264.9705573080967,16.0,3225.0,5287.0,4592.708736,219,1,34,2,4,19
181,19,191,1,1,0,56,0,206.0,15.0,2761.0,3963.0,3550.1725439999996,201,1,25,10,2,5
182,39,200,0,7,0,32,0,166.0,9.0,6068.0,8070.0,7223.2566,205,1,34,2,3,18
183,12,22,1,2,0,98,0,130.0,8.0,1193.0,3728.0,2555.138432,205,2,17,0,2,15
184,26,174,1,3,3,16,0,363.0,12.0,2978.0,5626.0,4669.692984,339,1,9,7,1,8
185,20,193,0,6,0,85,0,148.0,8.0,7184.0,9732.0,8488.746112,54,1,34,2,2,21
186,17,208,0,3,0,64,0,355.0,12.0,6050.0,9081.0,7850.2842,368,0,36,3,5,6
187,13,1,0,2,0,12,0,100.0,17.0,1515.0,5353.0,3539.486016,235,2,45,5,5,22
188,44,245,1,6,2,74,0,143.0,7.0,1305.0,5650.0,3586.7007,205,1,36,3,1,1
189,35,213,1,6,0,56,0,136.0,7.0,1571.0,3392.0,2602.476864,257,1,19,9,6,11
190,37,245,0,5,2,96,0,225.0,12.0,5761.0,11896.0,8933.567104000002,261,1,34,2,3,10
191,48,191,0,4,0,29,0,299.0,14.0,3582.0,4898.0,4533.57765,3,1,25,10,5,5
192,37,228,1,5,0,7,1,329.0,11.0,2428.0,5936.0,677.2722660000001,205,2,37,4,3,12
193,23,203,1,1,0,77,0,209.0,12.0,2621.0,5024.0,3995.7291,339,1,9,7,1,9
194,27,164,0,3,3,10,0,353.0,12.0,1758.0,6758.0,4615.648389,86,1,25,10,5,0
195,45,41,1,4,0,5,0,205.0,13.0,4444.0,5511.0,5188.451103,279,1,19,9,5,15
196,7,230,0,5,0,91,0,307.0,8.0,3467.0,5324.0,4638.253312,279,1,30,1,1,1
197,40,201,0,5,0,57,0,335.0,11.0,4545.0,5540.0,5348.59848,301,2,44,4,0,10
198,46,171,1,3,3,90,0,367.0,15.0,4420.0,11059.0,8001.209215999999,45,2,4,5,1,11
199,13,264,0,5,3,47,0,253.0,8.0,7258.0,11265.0,9460.969776,368,1,8,7,5,19
200,33,201,0,8,0,73,0,217.0,6.0,7001.0,9569.0,8421.9003,205,1,34,2,3,20
201,16,247,1,9,0,45,0,536.0,12.0,8653.0,11277.0,10445.677056,221,2,2,5,5,1
202,36,149,0,1,0,64,1,239.0,14.0,3830.0,6169.0,778.95675,315,2,4,5,1,14
203,16,59,1,3,0,50,0,264.9705573080967,16.0,3396.0,6363.615760927363,4405.085856000001,44,1,20,9,4,9
204,34,164,1,8,3,66,0,263.0,3.0,4223.0,13603.0,9086.8833,257,1,20,9,0,13
205,16,228,0,3,0,1,0,395.0,17.0,979.0,2792.0,2283.481629,201,1,25,10,1,8
206,16,164,1,6,3,28,0,133.0,6.0,4081.0,14589.0,9449.916,339,1,9,7,4,7
207,39,107,0,8,0,6,0,289.0,1.0,261.0,488.0,663.473646,282,2,45,5,4,15
208,28,268,1,1,2,42,0,287.0,13.0,4445.0,6363.615760927363,6360.470784,205,1,34,2,1,18
209,30,14,1,7,0,84,0,150.0,7.0,3543.0,13427.0,8516.510464,367,2,3,5,6,13
210,0,167,0,4,2,77,0,290.0,13.0,3024.0,6832.0,5172.1659,339,2,4,5,2,11
211,6,149,1,7,0,29,0,182.0,8.0,1682.0,2689.0,2363.326875,86,1,25,10,2,9
212,40,201,1,8,0,46,0,253.0,6.0,4121.0,6150.0,5357.073888,86,2,43,4,6,13
213,19,3,0,6,0,82,1,122.0,6.0,3029.0,4191.0,552.0596928,204,1,25,10,5,6
214,29,22,1,7,0,25,0,108.0,4.0,1237.0,3783.0,2612.4525,205,2,0,0,1,20
215,9,237,1,0,1,70,0,269.0,6.0,1467.0,2483.0,2222.7282,282,1,9,7,4,8
216,47,122,1,2,2,6,0,165.0,16.0,6204.0,7614.0,7084.341495000001,339,2,4,5,1,15
217,11,40,0,7,0,85,0,141.0,6.0,5195.0,7772.0,6532.941184,205,1,34,2,2,20
218,42,25,0,8,0,66,1,233.0,5.0,1991.0,2754.0,387.093465,219,2,0,0,1,21
219,45,12,1,9,0,44,0,643.0,14.0,3314.0,6804.0,5672.541888000001,134,2,4,5,1,15
220,47,191,0,3,0,67,0,373.0,12.0,3653.0,5239.0,4776.0966,282,1,26,0,2,5
221,41,98,1,2,0,62,0,124.0,13.0,2579.0,6363.615760927363,3184.8498,219,1,36,3,3,14
222,29,10,1,1,3,74,0,245.0,15.0,453.0,1169.0,1046.6478,352,2,45,5,6,20
223,18,51,1,7,0,32,0,191.0,10.0,1704.0,2199.0,2139.088875,86,1,25,10,3,9
224,15,220,0,8,2,82,0,265.0,6.0,2273.0,3279.0,2998.855552,3,1,25,10,5,7
225,48,193,1,0,0,4,0,257.0,9.0,3252.0,5335.0,4553.904564,54,2,0,0,1,18
226,2,231,1,6,1,27,0,137.0,8.0,2806.0,6363.615760927363,3416.068425,204,1,25,10,4,8
227,7,235,1,9,2,40,0,478.0,8.0,11149.0,16181.0,13835.466575,295,1,9,7,5,8
228,4,123,1,3,1,19,0,352.0,11.0,8572.0,12012.0,10654.254468000001,44,2,4,5,1,0
229,40,220,1,1,2,20,0,220.0,17.0,1879.0,2780.0,2496.00715,276,1,24,10,2,9
230,22,203,1,3,0,59,0,395.0,12.0,2030.0,4151.0,3466.879056,204,2,37,4,4,0
231,37,127,1,1,0,52,0,295.0,13.0,3312.0,4748.0,4302.5264640000005,339,1,9,7,2,6
232,41,196,0,5,0,13,1,263.0,7.0,2641.0,3744.0,518.60763405,205,2,0,0,2,22
233,12,201,0,3,0,17,0,369.0,15.0,3222.0,4601.0,4285.941363,86,1,25,10,5,8
234,46,141,0,5,2,14,0,335.0,5.0,2506.0,3780.0,3479.2220429999998,28,2,45,5,6,21
235,14,164,1,5,3,100,0,342.0,13.0,10616.0,26236.0,18369.131125,221,2,4,5,0,14
236,45,164,1,5,3,22,0,200.0,7.0,4201.0,6364.0,5472.4845,3,1,19,9,5,16
237,29,5,1,9,1,46,1,530.0,15.0,11822.0,16687.0,2206.6683552,205,1,34,2,1,13
238,24,154,0,8,2,52,0,297.0,2.0,1691.0,8780.0,5498.1352799999995,158,2,4,5,1,18
239,49,58,1,7,0,32,0,165.0,7.0,1784.0,2478.0,2291.746275,201,1,25,10,1,9
240,32,149,1,5,0,14,0,249.0,9.0,2300.0,3205.0,3003.679602,368,2,4,5,0,15
241,12,201,1,8,0,46,0,255.0,5.0,2963.0,4111.0,3769.489872,86,1,25,10,3,9
242,25,239,0,9,2,48,0,539.0,9.0,2703.0,6363.615760927363,3853.6776,247,1,25,10,5,9
243,27,41,1,5,0,44,0,272.0,5.0,3736.0,5300.0,4761.5895359999995,257,1,12,7,3,19
244,49,120,1,2,0,37,0,141.0,9.0,3138.0,5296.0,4350.8955,221,2,3,5,0,0
245,7,189,0,3,0,12,0,354.0,13.0,3150.0,4914.0,4390.800876,86,1,25,10,2,9
246,19,154,1,8,2,92,0,283.0,4.0,1829.0,7960.0,5104.875776,27,2,4,5,1,11
247,23,231,1,6,0,48,0,133.0,7.0,6066.0,7921.0,7085.759040000001,262,1,34,2,3,18
248,23,143,0,2,0,78,0,173.0,16.0,775.0,1958.0,1526.2731,44,1,20,9,3,14
249,25,120,1,4,2,95,0,202.0,13.0,600.0,2809.0,1881.234432,2,2,3,5,6,14
250,9,194,0,5,0,38,1,318.0,5.0,6760.0,9513.0,1265.61353625,257,1,20,9,0,12
251,6,231,1,8,0,89,0,202.0,4.0,5198.0,7926.0,6669.1806719999995,2,2,2,5,1,10
252,27,246,1,2,0,75,0,120.0,12.0,1478.0,2074.0,1879.1487,201,1,25,10,1,9
253,7,254,1,1,2,31,0,287.0,14.0,366.0,568.0,752.763375,86,1,25,10,5,7
254,28,16,1,7,0,76,0,141.0,7.0,1401.0,2006.0,1827.2331,45,1,20,9,5,13
255,19,5,0,8,1,97,0,259.0,1.0,9322.0,15054.0,12268.965632,54,1,34,2,1,21
256,26,169,0,0,2,81,1,265.0,9.0,7549.0,10737.0,1392.0954432,2,2,4,5,2,11
257,8,230,0,8,0,33,0,277.0,5.0,3378.0,7016.0,5462.9085,177,2,45,5,6,23
258,11,78,1,3,0,58,0,393.0,17.0,6768.0,10088.0,8778.783888,2,2,2,5,5,15
259,47,189,1,1,0,30,0,205.0,13.0,5025.0,8370.0,6893.931975,279,1,19,9,5,14
260,7,194,1,9,0,37,0,631.0,9.0,5575.0,7324.0,7068.58425,224,1,11,7,1,6
