,Stall_no,Market_Category,Loyalty_customer,Product_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,Selling_Price,ide,year,weekofyear,month,dayofweek,hour,Stall_no_Market_Category,Stall_no_Loyalty_customer,Stall_no_Product_Category,Stall_no_Grade,Stall_no_Discount_avail,Stall_no_year,Stall_no_month,Market_Category_Stall_no,Market_Category_Loyalty_customer,Market_Category_Product_Category,Market_Category_Grade,Market_Category_Discount_avail,Market_Category_year,Market_Category_month,Loyalty_customer_Stall_no,Loyalty_customer_Market_Category,Loyalty_customer_Product_Category,Loyalty_customer_Grade,Loyalty_customer_Discount_avail,Loyalty_customer_year,Loyalty_customer_month,Product_Category_Stall_no,Product_Category_Market_Category,Product_Category_Loyalty_customer,Product_Category_Grade,Product_Category_Discount_avail,Product_Category_year,Product_Category_month,Grade_Stall_no,Grade_Market_Category,Grade_Loyalty_customer,Grade_Product_Category,Grade_Discount_avail,Grade_year,Grade_month,Discount_avail_Stall_no,Discount_avail_Market_Category,Discount_avail_Loyalty_customer,Discount_avail_Product_Category,Discount_avail_Grade,Discount_avail_year,Discount_avail_month,year_Stall_no,year_Market_Category,year_Loyalty_customer,year_Product_Category,year_Grade,year_Discount_avail,year_month,month_Stall_no,month_Market_Category,month_Loyalty_customer,month_Product_Category,month_Grade,month_Discount_avail,month_year
10,7,149,1,1,0,6,0,247.0,17.0,1573.0,2915.0,2494.560519,247,1,25,10,4,8,614,15,71,28,17,21,84,2299,300,953,235,288,299,652,58,361,11,4,3,4,20,57,233,3,4,3,4,21,7,117,1,1,0,1,10,7,146,1,1,0,1,10,51,174,3,11,4,3,15,485,1039,20,101,40,27,18
11,0,141,1,8,2,22,0,274.0,1.0,3256.0,6033.0,4906.6626,315,2,4,5,1,13,40,1,8,2,0,1,5,1729,235,740,188,221,226,477,51,354,18,6,3,5,15,404,1333,17,34,23,26,93,101,299,5,28,6,8,27,0,138,1,8,2,2,5,95,398,5,28,10,6,18,249,537,11,58,22,14,12
12,32,80,1,5,0,68,0,253.0,11.0,2699.0,4909.0,4020.5682,345,2,4,5,1,16,2634,65,325,128,81,94,341,1137,137,468,104,125,138,310,83,298,15,4,3,5,15,284,822,11,20,15,17,60,32,66,1,5,0,2,5,32,79,1,5,0,2,5,127,352,5,25,8,6,18,281,491,11,55,20,14,12
13,39,78,1,1,0,38,1,291.0,17.0,3657.0,58812.0,4724.948025,126,2,1,5,3,21,3199,79,391,156,101,115,414,1101,134,453,100,122,135,302,90,297,11,4,4,5,15,89,200,3,4,4,5,16,39,64,1,1,1,2,5,90,317,3,11,4,5,16,134,351,5,21,8,7,18,288,490,11,51,20,15,12
14,40,164,1,6,3,39,0,117.0,9.0,7106.0,18697.0,12997.534725,168,2,4,5,0,14,3308,81,406,163,103,118,424,2131,276,871,215,263,274,593,91,374,16,7,3,5,15,343,1032,13,27,18,20,71,191,352,7,36,9,11,38,40,161,1,6,3,2,5,135,413,5,26,11,6,18,289,550,11,56,23,14,12
15,6,127,0,2,0,16,0,129.0,10.0,2915.0,4273.0,3726.2173409999996,86,1,25,10,4,7,526,12,62,24,14,18,73,1636,221,695,178,209,210,449,6,100,2,0,0,1,9,106,376,4,8,6,7,32,6,101,0,2,0,1,10,6,124,0,2,0,1,10,50,159,2,12,4,3,15,484,1027,19,102,40,27,18
16,5,1,0,3,0,74,0,264.9705573080967,11.0,786.0,3646.6409389275696,2582.8605,279,1,25,10,3,8,404,10,53,20,12,15,62,1264,156,521,122,148,156,349,5,1,3,0,0,1,9,155,466,6,12,9,10,43,5,1,0,3,0,1,10,5,1,0,3,0,1,10,49,69,2,13,4,3,15,483,970,19,103,40,27,18
17,8,149,1,2,0,57,0,120.0,10.0,1806.0,2510.0,2265.566976,205,1,25,10,3,9,689,17,82,32,19,24,94,2300,300,954,235,288,299,652,59,361,12,4,3,4,20,108,386,5,8,6,7,32,8,117,1,2,0,1,10,8,146,1,2,0,1,10,52,174,3,12,4,3,15,486,1039,20,102,40,27,18
18,5,148,0,5,2,29,0,273.0,9.0,1876.0,4092.0,3251.540775,44,1,20,9,2,13,441,10,55,22,12,15,61,1876,248,787,197,236,242,520,5,118,5,2,0,1,8,257,851,10,22,15,16,64,106,302,4,25,6,7,31,5,145,0,5,2,1,9,49,173,2,15,6,3,14,432,882,17,95,38,24,17
19,29,205,1,5,0,56,0,318.0,8.0,4184.0,6956.0,5854.748256,205,2,37,4,6,11,2442,59,295,116,73,85,308,3048,353,1188,275,342,365,834,80,413,15,4,3,5,14,281,894,11,20,15,17,59,29,155,1,5,0,2,4,29,202,1,5,0,2,4,124,443,5,25,8,6,17,228,423,9,45,16,11,10
20,16,37,1,6,0,7,1,139.0,7.0,5821.0,19237.0,1901.32534845,2,2,3,5,6,11,1311,33,166,64,40,47,171,592,67,243,45,57,71,164,67,262,16,4,4,5,15,319,962,13,24,19,20,71,16,31,1,6,1,2,5,67,295,3,16,4,5,16,111,325,5,26,8,7,18,265,469,11,56,20,15,12
21,1,134,1,6,0,72,0,124.0,6.0,3801.0,6159.0,5055.9201,297,1,9,7,2,8,129,3,16,4,2,3,17,1681,224,709,179,212,212,453,52,349,16,4,3,4,17,304,1014,13,24,18,19,73,1,108,1,6,0,1,7,1,131,1,6,0,1,7,45,162,3,16,4,3,12,332,690,15,76,28,19,14
22,19,200,0,0,0,16,0,317.0,16.0,4757.0,7174.0,6291.410796,116,1,30,1,1,16,1610,38,190,76,48,54,199,2901,342,1137,269,332,351,792,19,164,0,0,0,1,1,19,112,0,0,0,1,1,19,150,0,0,0,1,1,19,197,0,0,0,1,1,63,222,2,10,4,3,6,18,41,0,0,0,0,1
23,34,90,1,8,0,93,0,215.0,7.0,3165.0,4178.0,3833.0673920000004,205,1,25,10,5,8,2806,69,348,136,87,99,365,1225,152,507,117,142,151,335,85,308,18,4,3,4,20,438,1309,17,32,23,25,98,34,73,1,8,0,1,10,34,89,1,8,0,1,10,78,143,3,18,4,3,15,512,1020,20,108,40,27,18
24,9,200,1,5,0,22,0,297.0,11.0,8289.0,11444.0,10148.914125,262,1,34,2,4,7,788,19,95,36,21,27,97,2892,343,1142,269,332,351,793,60,408,15,4,3,4,12,261,890,11,20,15,16,57,9,150,1,5,0,1,2,9,197,1,5,0,1,2,53,222,3,15,4,3,7,57,140,3,15,4,3,3
25,25,104,1,1,0,84,0,253.0,17.0,5176.0,7755.0,6632.585344,205,1,34,2,2,23,2080,51,251,100,64,72,264,1399,174,564,137,164,172,374,76,321,11,4,3,4,12,75,210,3,4,3,4,13,25,84,1,1,0,1,2,25,102,1,1,0,1,2,69,152,3,11,4,3,7,73,91,3,11,4,3,3
26,49,145,1,2,0,81,0,134.0,12.0,5673.0,9323.0,7530.9696,297,1,9,7,5,8,4023,99,492,196,126,142,522,1858,243,764,192,231,234,501,100,358,12,4,3,4,17,149,384,5,8,6,7,29,49,115,1,2,0,1,7,49,142,1,2,0,1,7,93,170,3,12,4,3,12,380,696,15,72,28,19,14
27,49,125,1,7,0,8,0,130.0,8.0,1266.0,8600.0,5066.443305,339,1,9,7,3,5,4018,99,497,196,126,142,522,1561,209,663,168,197,199,417,100,340,17,4,3,4,17,403,1175,15,28,21,22,84,49,99,1,7,0,1,7,49,122,1,7,0,1,7,93,158,3,17,4,3,12,380,687,15,77,28,19,14
28,10,164,1,7,3,80,0,153.0,6.0,9673.0,15573.0,12495.939675,279,1,19,9,5,11,848,21,107,43,24,30,112,2101,276,872,215,263,273,597,61,374,17,7,3,4,19,364,1196,15,31,21,22,86,161,352,7,37,9,10,42,10,161,1,7,3,1,9,54,188,3,17,7,3,14,437,893,18,97,39,24,17
29,29,120,1,5,2,27,0,251.0,7.0,1077.0,2207.0,1889.414625,44,1,20,9,4,14,2412,59,295,118,73,84,313,1592,212,672,172,200,202,430,80,335,15,6,3,4,19,281,838,11,22,15,16,64,130,290,5,25,6,7,31,29,117,1,5,2,1,9,73,156,3,15,6,3,14,456,869,18,95,38,24,17
30,17,237,1,7,1,44,0,147.0,5.0,5824.0,8860.0,7444.716912000001,276,2,45,5,1,12,1462,35,177,69,42,50,182,3535,411,1359,315,398,422,972,68,442,17,5,3,5,15,371,1246,15,29,21,23,82,68,247,3,17,3,5,16,17,234,1,7,1,2,5,112,462,5,27,9,6,18,266,594,11,57,21,14,12
31,7,149,1,1,0,66,0,266.0,13.0,990.0,3013.0,2247.399,282,1,25,10,1,7,614,15,71,28,17,21,84,2299,300,953,235,288,299,652,58,361,11,4,3,4,20,57,233,3,4,3,4,21,7,117,1,1,0,1,10,7,146,1,1,0,1,10,51,174,3,11,4,3,15,485,1039,20,101,40,27,18
32,28,59,1,1,0,23,0,222.0,14.0,4818.0,7435.0,6341.1873,98,1,19,9,6,11,2326,57,281,112,71,81,302,950,106,379,78,96,109,258,79,281,11,4,3,4,19,78,195,3,4,3,4,20,28,51,1,1,0,1,9,28,59,1,1,0,1,9,72,120,3,11,4,3,14,455,860,18,91,36,24,17
33,8,4,0,8,0,19,0,264.9705573080967,9.0,950.0,1580.0,1563.9835859999998,44,1,20,9,2,14,656,16,88,32,19,24,93,63,4,27,3,4,5,19,8,4,8,0,0,1,8,412,1267,16,32,23,25,97,8,3,0,8,0,1,9,8,4,0,8,0,1,9,52,72,2,18,4,3,14,435,823,17,98,36,24,17
34,26,4,0,6,0,85,0,104.0,9.0,1179.0,1753.0,1548.692992,44,1,20,9,2,13,2142,52,266,104,66,75,281,71,4,25,3,4,5,19,26,4,6,0,0,1,8,329,939,12,24,18,19,75,26,3,0,6,0,1,9,26,4,0,6,0,1,9,70,72,2,16,4,3,14,453,823,17,96,36,24,17
35,21,183,0,8,0,12,0,280.0,8.0,4843.0,8913.0,7162.78365,3,1,20,9,0,11,1758,42,218,84,53,60,228,2454,310,1005,242,299,313,686,21,148,8,0,0,1,8,425,1358,16,32,23,25,97,21,135,0,8,0,1,9,21,180,0,8,0,1,9,65,205,2,18,4,3,14,448,905,17,98,36,24,17
36,44,40,1,0,0,61,0,323.0,14.0,5682.0,8542.640938927569,7056.7299,205,1,34,2,3,17,3609,89,440,176,112,129,464,780,86,304,61,77,87,201,95,265,10,4,3,4,12,44,23,1,0,0,1,2,44,34,1,0,0,1,2,44,40,1,0,0,1,2,88,105,3,10,4,3,7,92,71,3,10,4,3,3
37,48,200,0,4,0,45,0,262.0,13.0,4526.0,6800.0,5894.392896,212,1,25,10,5,9,3957,96,484,192,124,140,514,2928,342,1141,269,332,351,798,48,164,4,0,0,1,9,249,730,8,16,12,13,54,48,150,0,4,0,1,10,48,197,0,4,0,1,10,92,222,2,14,4,3,15,526,1069,19,104,40,27,18
38,17,10,1,7,3,85,1,166.0,7.0,558.0,1469.0,174.4822464,348,2,4,5,0,15,1386,35,177,71,43,50,182,426,38,167,25,34,41,109,68,237,17,7,4,5,15,371,1116,15,31,22,23,82,168,346,7,37,10,11,38,68,281,3,17,7,5,16,112,303,5,27,11,7,18,266,452,11,57,23,15,12
39,13,191,1,9,0,40,1,613.0,13.0,5658.0,8363.0,1119.13144125,279,1,19,9,5,15,1114,27,139,52,33,37,144,2611,325,1061,255,314,330,727,64,399,19,4,4,4,19,468,1523,19,36,27,28,108,13,142,1,9,1,1,9,64,382,3,19,4,4,20,57,213,3,19,4,4,14,440,909,18,99,36,25,17
40,34,127,1,2,0,88,1,170.0,16.0,7236.0,9829.0,1288.595616,2,2,3,5,6,9,2815,69,342,136,88,100,361,1664,222,695,178,210,211,445,85,342,12,4,4,5,15,134,376,5,8,7,8,27,34,101,1,2,1,2,5,85,345,3,12,4,5,16,129,387,5,22,8,7,18,283,525,11,52,20,15,12
41,19,164,1,0,3,71,0,310.0,8.0,4293.0,19849.0,12266.7534,339,2,4,5,2,11,1597,39,190,79,48,55,203,2110,276,865,215,263,274,593,70,374,10,7,3,5,15,19,87,1,3,0,2,5,170,352,7,30,9,11,38,19,161,1,0,3,2,5,114,413,5,20,11,6,18,268,550,11,50,23,14,12
42,15,191,1,5,0,34,1,339.0,5.0,5975.0,8226.0,1113.66635625,44,1,20,9,1,17,1266,31,155,60,37,43,164,2613,325,1057,255,314,330,727,66,399,15,4,4,4,19,267,881,11,20,16,16,64,15,142,1,5,1,1,9,66,382,3,15,4,4,20,59,213,3,15,4,4,14,442,909,18,95,36,25,17
43,15,200,0,4,0,31,0,222.0,13.0,6057.0,7466.0,6974.809275,205,1,34,2,3,19,1272,30,154,60,36,43,157,2898,342,1141,269,332,351,793,15,164,4,0,0,1,2,216,730,8,16,12,13,46,15,150,0,4,0,1,2,15,197,0,4,0,1,2,59,222,2,14,4,3,7,63,140,2,14,4,3,3
44,0,104,1,8,0,15,0,260.0,8.0,497.0,7855.0,4438.896065999999,345,2,4,5,1,16,35,1,8,0,0,1,5,1382,174,571,137,164,173,376,51,321,18,4,3,5,15,404,1317,17,32,23,26,93,0,84,1,8,0,2,5,0,102,1,8,0,2,5,95,367,5,28,8,6,18,249,505,11,58,20,14,12
45,30,120,0,9,2,31,0,521.0,7.0,4306.0,13430.0,9371.721975,158,2,4,5,1,14,2492,60,309,122,76,88,320,1593,211,676,172,200,203,427,30,94,9,2,0,2,5,485,1477,18,38,26,29,104,131,290,4,29,6,8,27,30,117,0,9,2,2,5,125,381,4,29,10,6,18,279,519,10,59,22,14,12
46,16,231,1,3,1,55,0,374.0,17.0,3538.0,4756.0,4499.070479999999,101,1,33,2,3,8,1368,33,163,65,39,46,168,3398,401,1316,308,388,413,943,67,436,13,5,3,4,12,166,595,7,13,9,10,35,67,245,3,13,3,4,13,16,228,1,3,1,1,2,60,251,3,13,5,3,7,64,155,3,13,5,3,3
47,29,236,1,8,0,71,1,251.0,1.0,1968.0,6703.0,681.159105,297,1,32,2,2,2,2450,59,298,116,74,84,306,3507,409,1350,314,396,419,962,80,441,18,4,4,4,12,433,1392,17,32,24,25,90,29,173,1,8,1,1,2,80,411,3,18,4,4,13,73,256,3,18,4,4,7,77,158,3,18,4,4,3
48,33,231,0,2,0,48,0,134.0,13.0,3218.0,4443.0,3944.075328,45,1,24,10,2,20,2768,66,332,132,84,96,355,3415,400,1315,307,388,413,949,33,191,2,0,0,1,9,133,438,4,8,6,7,32,33,170,0,2,0,1,10,33,228,0,2,0,1,10,77,251,2,12,4,3,15,511,1083,19,102,40,27,18
49,31,145,0,9,0,82,1,470.0,9.0,2371.0,6303.0,711.2434559999999,20,1,9,7,1,6,2575,62,319,124,79,90,332,1845,242,771,192,232,234,501,31,115,9,0,1,1,7,486,1492,18,36,27,28,106,31,115,0,9,1,1,7,82,353,2,19,4,4,18,75,170,2,19,4,4,12,362,696,14,79,28,20,14
50,32,228,1,3,0,31,0,374.0,16.0,1842.0,3179.0,2881.2987,205,1,25,10,4,6,2684,65,323,128,81,93,345,3313,395,1293,304,381,408,929,83,433,13,4,3,4,20,182,593,7,12,9,10,43,32,167,1,3,0,1,10,32,225,1,3,0,1,10,76,248,3,13,4,3,15,510,1081,20,103,40,27,18
51,36,231,1,3,0,57,0,363.0,11.0,7425.0,10250.0,9151.274592,297,2,4,5,0,14,3007,73,363,144,93,106,381,3418,401,1316,307,388,414,946,87,436,13,4,3,5,15,186,595,7,12,9,11,38,36,170,1,3,0,2,5,36,228,1,3,0,2,5,131,458,5,23,8,6,18,285,590,11,53,20,14,12
52,44,218,1,1,0,46,0,252.0,13.0,7137.0,8866.0,8211.011040000001,2,2,3,5,0,17,3660,89,441,176,112,130,467,3206,377,1249,290,362,392,889,95,425,11,4,3,5,15,94,276,3,4,3,5,16,44,163,1,1,0,2,5,44,215,1,1,0,2,5,139,450,5,21,8,6,18,293,583,11,51,20,14,12
53,35,163,1,7,3,69,0,158.0,10.0,6646.0,9290.0,8052.6303,3,1,20,9,0,13,2903,71,357,143,90,102,374,2083,274,862,214,261,270,586,86,373,17,7,3,4,19,389,1195,15,31,21,22,86,186,351,7,37,9,10,42,35,160,1,7,3,1,9,79,187,3,17,7,3,14,462,892,18,97,39,24,17
54,23,218,0,9,0,14,0,477.0,8.0,3557.0,4742.0,4629.357018,116,1,25,10,5,9,1943,46,239,92,58,66,251,3185,376,1257,290,362,391,894,23,180,9,0,0,1,9,478,1540,18,36,26,28,109,23,163,0,9,0,1,10,23,215,0,9,0,1,10,67,240,2,19,4,3,15,501,1079,19,109,40,27,18
55,5,1,0,7,0,41,1,136.0,3.0,3574.0,4756.0,641.20734,264,0,44,4,4,20,404,10,57,20,13,14,56,1264,156,525,122,149,155,344,5,1,7,0,1,0,4,359,1107,14,28,22,21,81,5,1,0,7,1,0,4,56,273,2,17,4,3,15,4,1,0,7,0,1,3,204,348,8,47,16,12,8
56,40,142,1,2,0,60,0,111.0,10.0,6659.0,9900.0,8209.80745,339,2,4,5,2,12,3301,81,402,160,103,118,424,1819,241,756,191,229,232,494,91,355,12,4,3,5,15,140,381,5,8,6,8,27,40,112,1,2,0,2,5,40,139,1,2,0,2,5,135,399,5,22,8,6,18,289,538,11,52,20,14,12
57,20,228,1,8,0,63,0,258.0,2.0,4440.0,6490.0,5666.8491,177,1,9,7,3,6,1699,41,208,80,50,57,216,3301,395,1298,304,381,408,927,71,433,18,4,3,4,17,424,1387,17,32,23,25,95,20,167,1,8,0,1,7,20,225,1,8,0,1,7,64,248,3,18,4,3,12,351,759,15,78,28,19,14
58,37,156,0,0,0,87,0,260.0,11.0,8257.0,15501.0,11977.080192,221,2,2,5,2,1,3062,74,370,148,96,109,392,2031,262,830,206,251,259,560,37,125,0,0,0,2,5,37,83,0,0,0,2,5,37,121,0,0,0,2,5,37,153,0,0,0,2,5,132,410,4,20,8,6,18,286,547,10,50,20,14,12
59,15,164,1,4,3,52,0,258.0,13.0,2120.0,15949.0,9244.692864,345,2,4,5,1,16,1259,31,154,63,36,44,160,2106,276,869,215,263,274,593,66,374,14,7,3,5,15,216,706,9,19,12,14,49,166,352,7,34,9,11,38,15,161,1,4,3,2,5,110,413,5,24,11,6,18,264,550,11,54,23,14,12
60,12,164,0,4,3,27,0,258.0,14.0,2486.0,14677.0,8829.381225,3,1,30,1,1,15,1022,24,124,51,29,35,126,2103,275,869,215,263,273,589,12,132,4,3,0,1,1,213,706,8,19,12,13,45,163,352,6,34,9,10,34,12,161,0,4,3,1,1,56,188,2,14,7,3,6,11,33,0,4,3,0,1
61,24,195,0,0,0,12,0,326.0,7.0,1587.0,4420.0,3331.26684,205,1,31,2,6,6,2021,48,240,96,61,69,254,2771,332,1092,261,322,341,758,24,159,0,0,0,1,2,24,107,0,0,0,1,2,24,145,0,0,0,1,2,24,192,0,0,0,1,2,68,217,2,10,4,3,7,72,136,2,10,4,3,3
62,5,171,1,2,3,49,0,152.0,12.0,4198.0,8015.0,6225.728688,44,2,4,5,1,14,451,11,52,23,12,16,57,2223,294,925,232,282,294,627,56,380,12,7,3,5,15,105,394,5,11,6,8,27,156,355,7,32,9,11,38,5,168,1,2,3,2,5,100,418,5,22,11,6,18,254,554,11,52,23,14,12
63,19,189,0,4,0,80,0,241.0,12.0,3020.0,4383.0,3858.13385,279,1,25,10,2,9,1604,38,194,76,48,54,208,2564,320,1043,252,310,326,714,19,153,4,0,0,1,9,220,720,8,16,12,13,54,19,141,0,4,0,1,10,19,186,0,4,0,1,10,63,211,2,14,4,3,15,497,1059,19,104,40,27,18
64,37,200,1,9,0,87,0,458.0,13.0,4724.0,6418.0,5949.318144,101,1,33,2,3,9,3074,75,379,148,96,108,389,2918,343,1146,269,332,351,793,88,408,19,4,3,4,12,492,1531,19,36,26,28,101,37,150,1,9,0,1,2,37,197,1,9,0,1,2,81,222,3,19,4,3,7,85,140,3,19,4,3,3
65,49,59,1,8,0,93,0,258.0,9.0,3662.0,5596.0,4820.737152000001,35,1,9,7,5,8,4006,99,498,196,126,142,522,966,106,386,78,96,109,256,100,281,18,4,3,4,17,453,1297,17,32,23,25,95,49,51,1,8,0,1,7,49,59,1,8,0,1,7,93,120,3,18,4,3,12,380,672,15,78,28,19,14
66,43,10,1,7,3,77,0,183.0,10.0,567.0,1309.0,1110.7206,42,1,9,7,5,8,3520,87,437,175,110,126,458,449,38,167,25,33,40,110,94,237,17,7,3,4,17,397,1116,15,31,21,22,84,194,346,7,37,9,10,40,43,10,1,7,3,1,7,87,78,3,17,7,3,12,374,659,15,77,31,19,14
67,14,183,1,6,0,6,0,101.0,6.0,5509.0,9435.0,7576.722252,98,1,20,9,0,13,1183,29,146,56,34,40,153,2449,311,1003,242,299,313,686,65,391,16,4,3,4,19,317,1046,13,24,18,19,75,14,135,1,6,0,1,9,14,180,1,6,0,1,9,58,205,3,16,4,3,14,441,905,18,96,36,24,17
68,3,164,0,6,3,21,0,105.0,8.0,2945.0,8553.0,5843.9535,345,2,4,5,2,13,293,6,36,15,7,10,36,2094,275,871,215,263,274,593,3,132,6,3,0,2,5,306,1032,12,27,18,20,71,154,352,6,36,9,11,38,3,161,0,6,3,2,5,98,413,4,26,11,6,18,252,550,10,56,23,14,12
69,16,231,1,9,1,39,0,646.0,10.0,3251.0,4273.0,4400.7306,40,1,25,10,5,7,1368,33,169,65,39,46,176,3398,401,1322,308,388,413,949,67,436,19,5,3,4,20,471,1545,19,37,26,28,109,67,245,3,19,3,4,21,16,228,1,9,1,1,10,60,251,3,19,5,3,15,494,1083,20,109,41,27,18
70,1,40,1,1,0,80,0,248.0,15.0,3278.0,4593.0,4095.1385,3,1,9,7,1,6,103,3,11,4,2,3,17,737,86,305,61,77,87,205,52,265,11,4,3,4,17,51,184,3,4,3,4,18,1,34,1,1,0,1,7,1,40,1,1,0,1,7,45,105,3,11,4,3,12,332,665,15,71,28,19,14
71,4,124,0,9,2,64,0,587.0,10.0,3166.0,5807.0,5027.2101,339,1,9,7,2,5,361,8,49,18,9,12,48,1533,206,657,167,194,197,415,4,98,9,2,0,1,7,459,1481,18,38,26,28,106,105,294,4,29,6,7,29,4,121,0,9,2,1,7,48,157,2,19,6,3,12,335,686,14,79,30,19,14
72,21,228,1,1,0,95,0,214.0,12.0,4100.0,5368.0,4882.347008,205,1,34,2,1,17,1778,43,211,84,53,60,222,3302,395,1291,304,381,408,923,72,433,11,4,3,4,12,71,279,3,4,3,4,13,21,167,1,1,0,1,2,21,225,1,1,0,1,2,65,248,3,11,4,3,7,69,153,3,11,4,3,3
73,13,259,1,4,2,89,1,240.0,15.0,1805.0,2627.0,363.5858688,36,1,19,9,6,11,1137,27,134,54,33,37,144,3842,449,1476,343,434,457,1053,64,462,14,6,4,4,19,214,764,9,18,13,13,53,114,341,5,24,7,7,31,64,423,3,14,6,4,20,57,278,3,14,6,4,14,440,957,18,94,38,25,17
74,47,164,1,1,3,31,0,264.9705573080967,10.254457730228655,9483.0,13644.0,11761.213275,3,1,9,7,5,9,3871,95,471,191,121,137,500,2138,276,866,215,263,273,595,98,374,11,7,3,4,17,97,240,3,7,3,4,18,198,352,7,31,9,10,40,47,161,1,1,3,1,7,91,188,3,11,7,3,12,378,709,15,71,31,19,14
